x_mm,y_mm,radius_mm
211.4,206.6,5.7
159.6,202.5,5.7
130.4,202.3,5.8
53.8,199.2,5.5
177.1,170.2,6.0
219.8,168.1,5.9
91.6,166.7,6.0
26.2,152.8,5.7
116.4,144.5,6.0
186.4,127.7,6.0
72.9,116.1,6.0
35.2,113.6,5.8
208.9,97.5,6.0
244.2,85.0,5.9
136.8,80.2,6.1
51.3,58.0,6.0
140.5,48.5,6.1
185.0,30.3,5.9
230.4,26.5,5.8
30.0,10.7,5.7
136.4,6.5,5.9
